Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.3057811126708985,2.3057811126708985,0.0,0.0,0.092,0.092
200,1.773427131652832,1.773427131652832,0.0,0.0,0.3525,0.3525
400,1.5833071060180663,1.5833071060180663,0.0,0.0,0.4165,0.4165
450,1.5601301498413085,1.5601301498413085,0.0,0.0,0.4255,0.4255
480,1.550020725250244,1.550020725250244,0.0,0.0,0.4295,0.4295
490,1.5873100280761718,1.5873100280761718,0.0,0.0,0.409,0.409
495,1.5461203155517578,1.5461203155517578,0.0,0.0,0.4205,0.4205
498,1.543711696624756,1.543711696624756,0.0,0.0,0.431,0.431
499,1.5683281478881836,1.5683281478881836,0.0,0.0,0.4195,0.4195
500,1.5381052894592284,1.5383894729614258,0.0002841835021973882,0.0002841835021973882,0.4315,0.4315
501,1.5410318183898926,1.5410236282348633,-8.190155029286217e-06,8.190155029286217e-06,0.434,0.439
502,1.5392303428649903,1.5390767707824706,-0.0001535720825196485,0.0001535720825196485,0.423,0.4235
505,1.5446276168823243,1.5436328773498535,-0.0009947395324707564,0.0009947395324707564,0.4165,0.421
510,1.5527697792053223,1.5498668479919433,-0.002902931213379034,0.002902931213379034,0.4115,0.419
520,1.5456005783081055,1.545481834411621,-0.00011874389648447448,0.00011874389648447448,0.419,0.4195
530,1.5450866394042968,1.5445432472229004,-0.0005433921813964293,0.0005433921813964293,0.425,0.4225
550,1.5420616149902344,1.5426940841674806,0.000632469177246131,0.000632469177246131,0.43,0.428
575,1.527993782043457,1.5288471031188964,0.0008533210754393394,0.0008533210754393394,0.4395,0.4395
600,1.5327213287353516,1.534210277557373,0.0014889488220213298,0.0014889488220213298,0.4335,0.432
650,1.5037924194335937,1.5042128677368165,0.0004204483032228534,0.0004204483032228534,0.44,0.4395
700,1.5083071327209472,1.508292881011963,-1.4251708984280853e-05,1.4251708984280853e-05,0.4475,0.449
750,1.4697863540649414,1.4701587600708008,0.00037240600585941586,0.00037240600585941586,0.455,0.457
800,1.4733872985839844,1.4722557792663573,-0.0011315193176271165,0.0011315193176271165,0.459,0.4555
1000,1.4224624252319336,1.426464225769043,0.004001800537109412,0.004001800537109412,0.4825,0.4735
1200,1.4086189155578612,1.4184030227661133,0.009784107208252069,0.009784107208252069,0.479,0.4705
1256,1.4579036712646485,1.468854190826416,0.010950519561767624,0.010950519561767624,0.457,0.4565
