Step,MeanDeltaProbeLoss,SampleSDDeltaProbeLoss,MedianDeltaProbeLoss,MinDeltaProbeLoss,MaxDeltaProbeLoss,MedianAbsoluteDeltaProbeLoss
0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0,0.0,0.0
500,-0.00030829493204749997,0.0007253995701561815,-3.7757873535104736e-05,-0.0011300849914550604,0.00024295806884766513,0.00024295806884766513
501,-4.3848673502526005e-05,0.0019657944129465874,-0.0001652221679686594,-0.001946144104003844,0.0019798202514649255,0.001946144104003844
502,0.0015434481302897634,0.0014734381479481608,0.0023829307556153534,-0.0001578826904298225,0.002405296325683759,0.0023829307556153534
505,0.001640132904052738,0.0024700674931829787,0.0028321762084961843,-0.0011998825073242791,0.0032881050109863086,0.0028321762084961843
510,0.0022477658589679836,0.003374931695559955,0.0021365127563475195,-0.0010701637268066833,0.005676948547363114,0.0021365127563475195
520,0.0021292012532551454,0.005717399412962199,0.003652324676513663,-0.004195518493652406,0.00693079757690418,0.004195518493652406
530,0.006978153228759831,0.0065876364440197645,0.0077388992309570526,4.317092895522734e-05,0.013152389526367214,0.0077388992309570526
550,0.006787099202473963,0.006824527906289442,0.005125728607177749,0.0009466476440429528,0.01428892135620119,0.005125728607177749
575,0.005103054046630806,0.003241491006927385,0.006470027923583865,0.0014019851684570206,0.007437149047851532,0.006470027923583865
600,0.007090890248616422,0.005371738585547861,0.0076841430664060795,0.0014471511840818962,0.012141376495361289,0.0076841430664060795
650,-0.005230515797932878,0.0052210005767174515,-0.004056167602539018,-0.010938678741454932,-0.0006967010498046822,0.004056167602539018
700,-0.0006277910868327149,0.005733435095095187,0.0010965995788574379,-0.007025520324707157,0.004045547485351575,0.004045547485351575
750,0.001511777242024781,0.006496751460297083,-0.0017843055725097479,-0.0026762466430663157,0.008995883941650407,0.0026762466430663157
800,0.0022032686869302895,0.0032003963862658655,0.0030695915222167525,-0.0013411064147950125,0.004881320953369128,0.0030695915222167525
1000,0.01071292622884116,0.008528439118071324,0.005938442230224661,0.005641113281249943,0.02055922317504888,0.005938442230224661
1200,0.0007294883728026965,0.00626956425555337,0.002837863922119155,-0.006322490692138638,0.005673091888427573,0.005673091888427573
1256,0.015426368713378805,0.006333955653053478,0.013667118072509643,0.010158004760742134,0.02245398330688464,0.013667118072509643
