Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.305514442443848,2.305514442443848,0.0,0.0,0.095,0.095
200,1.5181315994262696,1.5181315994262696,0.0,0.0,0.4525,0.4525
400,1.377139736175537,1.377139736175537,0.0,0.0,0.516,0.516
450,1.3256981735229492,1.3256981735229492,0.0,0.0,0.51,0.51
480,1.34870206451416,1.34870206451416,0.0,0.0,0.5105,0.5105
490,1.3445036163330077,1.3445036163330077,0.0,0.0,0.5155,0.5155
495,1.372290065765381,1.372290065765381,0.0,0.0,0.508,0.508
498,1.317070125579834,1.317070125579834,0.0,0.0,0.508,0.508
499,1.3333621635437012,1.3333621635437012,0.0,0.0,0.5155,0.5155
500,1.3481484718322754,1.348391429901123,0.00024295806884766513,0.00024295806884766513,0.5285,0.5265
501,1.3216357078552246,1.321470485687256,-0.0001652221679686594,0.0001652221679686594,0.529,0.525
502,1.3430520820617675,1.3454350128173829,0.0023829307556153534,0.0023829307556153534,0.5185,0.5155
505,1.2930011444091798,1.296289249420166,0.0032881050109863086,0.0032881050109863086,0.5335,0.528
510,1.3473819847106934,1.3463118209838867,-0.0010701637268066833,0.0010701637268066833,0.499,0.502
520,1.278446304321289,1.2742507858276366,-0.004195518493652406,0.004195518493652406,0.545,0.5475
530,1.298338722229004,1.3114911117553711,0.013152389526367214,0.013152389526367214,0.5265,0.522
550,1.2870899658203125,1.3013788871765137,0.01428892135620119,0.01428892135620119,0.539,0.5435
575,1.2324998435974122,1.238969871520996,0.006470027923583865,0.006470027923583865,0.5515,0.551
600,1.2634630966186524,1.2649102478027343,0.0014471511840818962,0.0014471511840818962,0.551,0.55
650,1.2711339836120605,1.2704372825622559,-0.0006967010498046822,0.0006967010498046822,0.538,0.5385
700,1.210822109222412,1.2119187088012695,0.0010965995788574379,0.0010965995788574379,0.57,0.5655
750,1.2004684143066406,1.198684108734131,-0.0017843055725097479,0.0017843055725097479,0.571,0.5745
800,1.1669352531433106,1.1718165740966797,0.004881320953369128,0.004881320953369128,0.585,0.5855
1000,1.1017199592590332,1.122279182434082,0.02055922317504888,0.02055922317504888,0.608,0.6015
1200,1.0536266326904298,1.0592997245788573,0.005673091888427573,0.005673091888427573,0.626,0.626
1256,1.0680720024108887,1.0905259857177734,0.02245398330688464,0.02245398330688464,0.6315,0.624
