Optimizer,LearningRate,CalibrationEpochs,CalibrationTrainSize,CalibrationValSize,ValidationLoss,ValidationAccuracy,RuntimeSeconds
SGD,0.01,3,10000,2000,2.278725196838379,0.1295,98.68357181549072
SGD,0.03,3,10000,2000,2.131047576904297,0.2495,85.95589709281921
SGD,0.05,3,10000,2000,2.040053146362305,0.249,74.10609745979309
SGD,0.1,3,10000,2000,2.0261219635009766,0.2455,91.33612775802612
AdaGrad,0.003,3,10000,2000,1.8653460540771485,0.316,70.25816178321838
AdaGrad,0.01,3,10000,2000,1.7985622024536132,0.3455,68.02789258956909
AdaGrad,0.03,3,10000,2000,1.9028088989257812,0.3045,60.26865220069885
AdaGrad,0.05,3,10000,2000,2.1269103164672853,0.2445,70.37735271453857
Adam,0.0003,3,10000,2000,1.843146514892578,0.32,87.35766172409058
Adam,0.001,3,10000,2000,1.6731783828735352,0.3725,87.18308210372925
Adam,0.003,3,10000,2000,1.5851930656433106,0.4105,80.67563819885254
