Step,MeanDeltaProbeLoss,SampleSDDeltaProbeLoss,MedianDeltaProbeLoss,MinDeltaProbeLoss,MaxDeltaProbeLoss,MedianAbsoluteDeltaProbeLoss
0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0,0.0,0.0
500,-0.0002140579223633606,0.001538156068277915,-0.0007067489624024148,-0.0014455032348634766,0.0015100784301758097,0.0014455032348634766
501,-0.0008490880330404386,0.0016729972287324979,-0.0009359130859376563,-0.0024769821166992223,0.0008656311035155628,0.0009359130859376563
502,-0.000550928751627433,0.0005471130536474102,-0.0007970046997067826,-0.0009317932128904971,7.601165771498053e-05,0.0007970046997067826
505,4.891204833993671e-05,0.0005608960695456982,0.0003423461914062731,-0.0005978317260741939,0.0004022216796877309,0.0004022216796877309
510,-0.0003738911946615797,0.0009563843395843617,-0.000728248596191694,-0.0011025238037110086,0.0007090988159179634,0.000728248596191694
520,-0.0005895690917968969,0.0006704209156052492,-0.0009140624999999236,-0.0010360031127931713,0.00018135833740240415,0.0009140624999999236
530,-0.0002617009480793501,0.0006692535348280646,-0.0005621032714842045,-0.0007281188964842755,0.0005051193237304297,0.0005621032714842045
550,-7.520548502600495e-05,0.0006880033600587723,-0.00021777343749995737,-0.0006807556152343963,0.0006729125976563388,0.0006729125976563388
575,-0.00013771057128919573,0.0005028223108852092,-0.00025818634033214494,-0.0005693511962892028,0.0004144058227537606,0.0004144058227537606
600,-0.0001343104044596218,0.0005571144752789373,-0.00033296966552742724,-0.000564865112304691,0.0004949035644532529,0.0004949035644532529
650,-0.00020257059733075344,0.0004858300649156617,-0.000475212097168054,-0.0004908447265625782,0.00035834503173837184,0.000475212097168054
700,-8.12530517578421e-05,0.0010013456446581461,-0.0003814392089844798,-0.0008981704711914507,0.0010358505249024041,0.0008981704711914507
750,-0.0004285761515300616,0.0008049288788962048,-0.0007876281738281588,-0.0009914932250978392,0.0004933929443358132,0.0007876281738281588
800,-0.00022890726725255384,0.00015967193292599488,-0.0001513442993164027,-0.0004125442504880894,-0.0001228332519531694,0.0001513442993164027
1000,8.802541097015688e-05,0.0004110495453222657,0.000245971679687651,-0.00037857055664058947,0.00039667510986340915,0.00037857055664058947
1200,-0.0004202982584636435,0.00020521574941958652,-0.0005180740356445224,-0.0005583419799806144,-0.00018447875976579375,0.0005180740356445224
1256,-0.0001253560384114986,0.0008983876508099158,-0.000442077636718885,-0.000822486877441353,0.0008884963989257422,0.000822486877441353
