Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.30476309967041,2.30476309967041,0.0,0.0,0.108,0.108
200,2.1228418731689453,2.1228418731689453,0.0,0.0,0.2425,0.2425
400,2.021949630737305,2.021949630737305,0.0,0.0,0.2365,0.2365
450,2.0069233703613283,2.0069233703613283,0.0,0.0,0.279,0.279
480,1.9912056579589843,1.9912056579589843,0.0,0.0,0.26,0.26
490,1.9844309158325195,1.9844309158325195,0.0,0.0,0.2735,0.2735
495,1.9792113800048827,1.9792113800048827,0.0,0.0,0.2935,0.2935
498,1.9871429138183594,1.9871429138183594,0.0,0.0,0.2895,0.2895
499,1.981710334777832,1.981710334777832,0.0,0.0,0.2865,0.2865
500,1.9802493667602539,1.9795426177978515,-0.0007067489624024148,0.0007067489624024148,0.267,0.275
501,1.9943146591186522,1.991837677001953,-0.0024769821166992223,0.0024769821166992223,0.2535,0.265
502,1.9835421829223632,1.9826103897094727,-0.0009317932128904971,0.0009317932128904971,0.2645,0.2685
505,1.9821633529663085,1.9815655212402343,-0.0005978317260741939,0.0005978317260741939,0.2945,0.2935
510,1.9854466094970704,1.9843440856933594,-0.0011025238037110086,0.0011025238037110086,0.283,0.279
520,1.9778667831420897,1.9769527206420898,-0.0009140624999999236,0.0009140624999999236,0.2875,0.293
530,1.9643284225463866,1.9637663192749024,-0.0005621032714842045,0.0005621032714842045,0.2955,0.2965
550,1.9560417098999023,1.9558239364624024,-0.00021777343749995737,0.00021777343749995737,0.302,0.3025
575,1.945265266418457,1.945007080078125,-0.00025818634033214494,0.00025818634033214494,0.291,0.2925
600,1.9405263748168946,1.9401934051513672,-0.00033296966552742724,0.00033296966552742724,0.307,0.307
650,1.9033243713378907,1.9028491592407226,-0.000475212097168054,0.000475212097168054,0.2965,0.2985
700,1.882236885070801,1.8818554458618164,-0.0003814392089844798,0.0003814392089844798,0.3085,0.31
750,1.8582499923706055,1.8574623641967773,-0.0007876281738281588,0.0007876281738281588,0.313,0.313
800,1.8308206329345702,1.8304080886840821,-0.0004125442504880894,0.0004125442504880894,0.331,0.3325
1000,1.7801145401000977,1.7797359695434571,-0.00037857055664058947,0.00037857055664058947,0.3285,0.33
1200,1.802801643371582,1.8026171646118163,-0.00018447875976579375,0.00018447875976579375,0.331,0.3315
1256,1.7116361389160155,1.7108136520385742,-0.000822486877441353,0.000822486877441353,0.3795,0.379
