Optimizer,ShockMagnitude,MedianImmediateUpdate,MedianTransmissionRatio,MedianImmediateExcessUpdate,MedianPeakPositiveCausalDamage,MedianCumulativePositiveCausalDamage,MedianPeakAbsoluteDeviation,MedianPeakDeviationIteration,MedianT50,T50FailureRate,MedianT90,T90FailureRate,MedianMinEffectiveScaleShockControlRatio,MedianMaxEffectiveScaleAbsLogRatio
SGD,2,0.0269798286294967,0.0134899143147483,0.00871975645920736,0.000511873665861973,0.0440522541069651,0.0049986195072475,50,70,0.006,108.5,0.996,1,0
SGD,5,0.0528701324673804,0.0105740264934761,0.0350338305691092,0.00164912901015923,0.139451130186684,0.0126400673447392,50,70,0.006,101,0.986,1,0
SGD,10,0.101421486409849,0.0101421486409849,0.0834913646650634,0.00453436400652796,0.376637243437612,0.0252269072334406,50,70,0,84,0.984,1,0
SGD,20,0.200603076459785,0.0100301538229893,0.182734807095574,0.0140687280130559,1.1442144191322,0.0518589624171475,50,70,0.002,101,0.988,1,0
SGD,50,0.500149342176867,0.0100029868435373,0.482236472637666,0.0726718200326396,5.79258553975781,0.137187800660606,50,70,0.004,82,0.994,1,0
SGD,100,0.999997651380778,0.00999997651380778,0.982039581377212,0.270343640065279,21.35866938594,0.329975014009132,50,70,0.002,105,0.99,1,0
AdaGrad,2,0.186067734435982,0.0930338672179911,0.137388343220141,0.00822894896167018,0.0850890115965278,0.00854394354572779,50,8,0,30,0,0.883267696368666,0.124126961613145
AdaGrad,5,0.199733240132899,0.0399466480265798,0.153895477008365,0.00956666937256282,0.221312824178926,0.0102215120660789,50,18,0.002,61,0.008,0.838569329772991,0.176058030895723
AdaGrad,10,0.202040558597468,0.0202040558597468,0.158772051897689,0.00996221528689861,0.436670665870712,0.0104415952374421,50,34,0.004,111,0.116,0.820782880976156,0.197496841138415
AdaGrad,20,0.202930038183891,0.0101465019091946,0.160126341563397,0.0100596012926857,0.74663879143337,0.0105140956143749,51,68,0.006,47,0.942,0.811148234738127,0.20930448375585
AdaGrad,50,0.203345920433472,0.00406691840866944,0.160666309664473,0.0101373319658275,1.10895884953343,0.0105552851066144,51.5,102.5,0.824,28,0.97,0.805903713765699,0.21579100610916
AdaGrad,100,0.203403895487185,0.00203403895487184,0.16085793361354,0.0101563350386204,1.28703620792689,0.0105753589035093,52,10,0.938,28,0.972,0.804281558349149,0.217805875398751
Adam,2,0.0311065857334441,0.0155532928667221,0.00535174677834511,0.00383637962010758,0.0843535525030599,0.00443276505308421,64,13,0.008,29,0.022,0.897912081671594,0.107683204818266
Adam,5,0.0322027732723447,0.00644055465446894,0.00633446778277513,0.00664489303181548,0.213181842968829,0.00699384034255687,69,19,0.004,44,0.02,0.840239226019578,0.174068647497028
Adam,10,0.0324654094905033,0.00324654094905033,0.0064733756490236,0.00875887628949033,0.420842485598108,0.00875887628949033,73,31,0.008,69,0.038,0.812230148139881,0.207971545333236
Adam,20,0.0325011877922463,0.00162505938961232,0.00647345226331906,0.0101352837491301,0.74419360993961,0.0101352837491301,79,48,0.006,97,0.582,0.800296585300453,0.222772888555247
Adam,50,0.032507919519094,0.000650158390381881,0.00650133215692772,0.0119665762508378,1.23853749560016,0.0119665762508378,87,90,0.214,56,0.962,0.791738005348425,0.233524777602237
Adam,100,0.0325578104141237,0.000325578104141237,0.00650090492855223,0.0127076800069539,1.49492022155318,0.0127076800069539,94,39.5,0.896,39,0.976,0.789404658645601,0.23647624534497
