Optimizer,Noise,ClipMode,Threshold,FinalViolationProbability
SGD,Gaussian,Unclipped,0.1,0
SGD,Gaussian,Unclipped,0.01,0.962
SGD,Gaussian,Unclipped,0.001,1
SGD,Gaussian,Clipped-c5,0.1,0
SGD,Gaussian,Clipped-c5,0.01,0.9625
SGD,Gaussian,Clipped-c5,0.001,1
SGD,StudentT-nu5,Unclipped,0.1,0.0005
SGD,StudentT-nu5,Unclipped,0.01,0.967
SGD,StudentT-nu5,Unclipped,0.001,1
SGD,StudentT-nu5,Clipped-c5,0.1,0.0005
SGD,StudentT-nu5,Clipped-c5,0.01,0.9655
SGD,StudentT-nu5,Clipped-c5,0.001,1
SGD,StudentT-nu3,Unclipped,0.1,0.006
SGD,StudentT-nu3,Unclipped,0.01,0.9385
SGD,StudentT-nu3,Unclipped,0.001,1
SGD,StudentT-nu3,Clipped-c5,0.1,0
SGD,StudentT-nu3,Clipped-c5,0.01,0.9185
SGD,StudentT-nu3,Clipped-c5,0.001,1
AdaGrad,Gaussian,Unclipped,0.1,0
AdaGrad,Gaussian,Unclipped,0.01,0.9245
AdaGrad,Gaussian,Unclipped,0.001,1
AdaGrad,Gaussian,Clipped-c5,0.1,0
AdaGrad,Gaussian,Clipped-c5,0.01,0.9255
AdaGrad,Gaussian,Clipped-c5,0.001,1
AdaGrad,StudentT-nu5,Unclipped,0.1,0.0005
AdaGrad,StudentT-nu5,Unclipped,0.01,0.9355
AdaGrad,StudentT-nu5,Unclipped,0.001,1
AdaGrad,StudentT-nu5,Clipped-c5,0.1,0
AdaGrad,StudentT-nu5,Clipped-c5,0.01,0.934
AdaGrad,StudentT-nu5,Clipped-c5,0.001,1
AdaGrad,StudentT-nu3,Unclipped,0.1,0.0005
AdaGrad,StudentT-nu3,Unclipped,0.01,0.901
AdaGrad,StudentT-nu3,Unclipped,0.001,1
AdaGrad,StudentT-nu3,Clipped-c5,0.1,0
AdaGrad,StudentT-nu3,Clipped-c5,0.01,0.8815
AdaGrad,StudentT-nu3,Clipped-c5,0.001,1
Adam,Gaussian,Unclipped,0.1,0.1455
Adam,Gaussian,Unclipped,0.01,0.9995
Adam,Gaussian,Unclipped,0.001,1
Adam,Gaussian,Clipped-c5,0.1,0.147
Adam,Gaussian,Clipped-c5,0.01,0.9995
Adam,Gaussian,Clipped-c5,0.001,1
Adam,StudentT-nu5,Unclipped,0.1,0.161
Adam,StudentT-nu5,Unclipped,0.01,0.9985
Adam,StudentT-nu5,Unclipped,0.001,1
Adam,StudentT-nu5,Clipped-c5,0.1,0.156
Adam,StudentT-nu5,Clipped-c5,0.01,0.999
Adam,StudentT-nu5,Clipped-c5,0.001,1
Adam,StudentT-nu3,Unclipped,0.1,0.1445
Adam,StudentT-nu3,Unclipped,0.01,0.999
Adam,StudentT-nu3,Unclipped,0.001,1
Adam,StudentT-nu3,Clipped-c5,0.1,0.105
Adam,StudentT-nu3,Clipped-c5,0.01,0.999
Adam,StudentT-nu3,Clipped-c5,0.001,1
