Optimizer,ShockMagnitude,MedianImmediateUpdate,MedianTransmissionRatio,MedianImmediateExcessUpdate,MedianPeakPositiveCausalDamage,MedianCumulativePositiveCausalDamage,MedianPeakAbsoluteDeviation,MedianPeakDeviationIteration,MedianT50,T50FailureRate,MedianT90,T90FailureRate,MedianMinEffectiveScaleShockControlRatio,MedianMaxEffectiveScaleAbsLogRatio
SGD,2,0.0274479744767808,0.0137239872383904,0.00871531484240461,7.48035491104446e-05,0.00554297662119197,0.00475173712637228,50,70,0,230,0,1,0
SGD,5,0.053644892791404,0.0107289785582808,0.0348161859144619,0.000529061622321872,0.0404332994383703,0.0120094313605527,50,70,0,230,0,1,0
SGD,10,0.101806919194154,0.0101806919194154,0.0833190245188574,0.00225801371456824,0.201275999440794,0.0241391590388668,50,70,0,230,0,1,0
SGD,20,0.200834921974616,0.0100417460987308,0.18251838965532,0.00945025381040461,0.902996295460182,0.0499960756126945,50,70,0,230,0,1,0
SGD,50,0.500255598723531,0.0100051119744706,0.48192083524129,0.0610234648711237,6.01313304643789,0.129073366081572,50,70,0,230,0,1,0
SGD,100,1.00006400892132,0.0100006400892132,0.981720575122458,0.247046929742247,24.5464782146438,0.311447676093199,50,70,0,230,0,1,0
AdaGrad,2,0.186392940651799,0.0931964703258993,0.136484590431965,0.00862026924133011,0.0939606873640161,0.00907057381966705,50,9,0,30,0,0.882973549733304,0.124460035514276
AdaGrad,5,0.19958795400802,0.039917590801604,0.153130149297983,0.0101542381681385,0.245558523865973,0.0107330002526984,50,18,0,60,0,0.839145393652219,0.175371365003803
AdaGrad,10,0.202123973398519,0.0202123973398519,0.156969098569828,0.0105574144910027,0.489080046335248,0.0109007644569486,50,35,0,114,0,0.820503579172533,0.197837033754613
AdaGrad,20,0.20301667661655,0.0101508338308275,0.158973091533032,0.01074516038785,0.973699219425014,0.0109755866147201,51,69,0,222,0,0.812216512962512,0.207988339029437
AdaGrad,50,0.203433076173123,0.00406866152346246,0.159807420973805,0.0109071641659292,2.36749454397467,0.0110971387182128,52,167,0,537.5,0.008,0.806292598280952,0.215309236606828
AdaGrad,100,0.203499893273679,0.00203499893273679,0.159925829068131,0.0109868369229018,3.98294868236504,0.0111687249657725,53,332.5,0,379,0.952,0.804604786745025,0.217404686408816
Adam,2,0.0321746655275341,0.0160873327637671,0.00514578574174243,0.00431278152372705,0.11594716381411,0.00474966911855213,64,13,0,30,0,0.887815895111236,0.118991189918045
Adam,5,0.0333350047772521,0.00666700095545043,0.00621370939577603,0.00702347605057674,0.272097391660739,0.0072250938781944,69,19,0,42.5,0.004,0.829136488143544,0.187370535130158
Adam,10,0.0334449226234125,0.00334449226234125,0.00629716003301248,0.00896484642675176,0.47309544978719,0.00899294803582872,74,30,0.006,69,0.014,0.808485171647222,0.212592944374319
Adam,20,0.0334406665657935,0.00167203332828967,0.0062758567160058,0.0106342938770005,0.818677893523832,0.0106342938770005,80,48,0.004,114,0.006,0.797283718526344,0.226544731471771
Adam,50,0.0334784160069698,0.000669568320139396,0.00629290582757059,0.0124016676986814,1.68146912610879,0.0124016676986814,88,93,0.006,222,0.006,0.790326608685553,0.235309025157316
Adam,100,0.033475797613079,0.00033475797613079,0.00627822781862624,0.0133063828312481,2.84277835766166,0.0133063828312481,94,157,0.006,361,0.006,0.788161520143929,0.238052302388687
