Optimizer,Noise,ClipMode,FinalMedianError,Central80Width,FinalQ95,FinalQ99,FinalCVaR95,HillAlpha,HillCI_L,HillCI_U
SGD,Gaussian,Unclipped,0.0249553006142378,0.0296548367477953,0.0485036130994558,0.0620025899261236,0.0567157027125359,16.8105797934312,12.4518985091077,23.5120969961706
SGD,Gaussian,Clipped-c5,0.0249552875757217,0.0296548367477953,0.048503614962101,0.0620025992393494,0.0567156947031617,16.8105843499583,12.1852995400975,23.9133584981596
SGD,StudentT-nu5,Unclipped,0.0251882933080196,0.0314475856721401,0.0520209297537804,0.067913293838501,0.0618958999589086,6.27564931982217,5.18539352554074,9.03980831886504
SGD,StudentT-nu5,Clipped-c5,0.0247241305187345,0.0306444140151143,0.0510269664227962,0.064217921346426,0.0601579904928803,12.1863161697203,9.71861043867979,16.2911007546509
SGD,StudentT-nu3,Unclipped,0.0232739308848977,0.0329251624643803,0.0533664338290691,0.0852232128381729,0.0794005455076695,3.65908552611507,2.90347371145531,5.03372823903726
SGD,StudentT-nu3,Clipped-c5,0.0208679605275393,0.0265665263868868,0.0440045185387135,0.0554519649595022,0.0513113054633141,15.6134444476371,11.5486214879049,20.6563793776571
AdaGrad,Gaussian,Unclipped,0.0205458933487535,0.0241452502086759,0.0402152184396982,0.0503181219100952,0.0473633855953813,16.0662171735809,12.1471657841058,23.0644879305569
AdaGrad,Gaussian,Clipped-c5,0.0206878231838346,0.0242979973554611,0.040354710072279,0.0505219642072916,0.0471157502755523,15.9618154368193,12.2898254662909,23.0641080218207
AdaGrad,StudentT-nu5,Unclipped,0.0208866763859987,0.024790090508759,0.0421171821653843,0.0560802761465311,0.0506635065749288,7.00770008509523,5.79583884323331,9.42075331430551
AdaGrad,StudentT-nu5,Clipped-c5,0.0208274992182851,0.0245203152298927,0.0422142054885626,0.0542623326182365,0.0495292579755187,12.9252304498426,9.66598167992665,18.4040662261196
AdaGrad,StudentT-nu3,Unclipped,0.0197745664045215,0.0259087872691453,0.0414660666137934,0.0576882269233465,0.0528951159864664,4.17028351625943,3.22260943256374,5.89866904160098
AdaGrad,StudentT-nu3,Clipped-c5,0.0186829688027501,0.0231337416917086,0.037685003131628,0.0482079833745956,0.0439896169304848,17.0558287236691,11.2869216000124,23.7390977963897
Adam,Gaussian,Unclipped,0.0626268833875656,0.0775384064763784,0.127100042998791,0.163855977356434,0.148317552655935,15.889191533242,12.5539928291169,25.8562529214908
Adam,Gaussian,Clipped-c5,0.063166718930006,0.078201012685895,0.127499133348465,0.163864403963089,0.149222032129765,15.4922220047057,12.7518922514969,25.731889055295
Adam,StudentT-nu5,Unclipped,0.0635280162096024,0.0789861083030701,0.129654198884964,0.169026210904121,0.151511271744967,13.6887677359618,11.0222018232807,18.9743333544476
Adam,StudentT-nu5,Clipped-c5,0.0631811618804932,0.0779992248862982,0.128062769770622,0.164180807769299,0.149822487533092,16.1283978368578,12.8654616216027,22.8719659020189
Adam,StudentT-nu3,Unclipped,0.0601680930703878,0.0821655988693237,0.135558255016804,0.195078283548355,0.16812120243907,7.07552795826245,5.71250404917122,9.84443321513898
Adam,StudentT-nu3,Clipped-c5,0.0579208806157112,0.0719559481367469,0.114081002771854,0.146848037838936,0.133884363770485,13.8635868451495,10.2113344406692,18.3897118024339
